n,wr,aw,al,pf,ret,score,bb_period,bb_std,stoch_k,stoch_smk,stoch_smd,os,ob,sl,tp1,tp2,mid_exit,use_ema,use_vol,use_bbw,bbw_max,leverage,equity_pct,commission
11,63.63636363636363,7.499999999999997,-6.0,2.187499999999999,9.791988568372755,139.20454545454538,20,1.5,9,3,3,15,85,2.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.499999999999997,-6.0,2.187499999999999,9.791988568372755,139.20454545454538,20,1.5,9,3,3,20,85,2.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.499999999999997,-6.0,2.187499999999999,9.791988568372755,139.20454545454538,20,1.5,9,3,3,25,85,2.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.499999999999997,-6.0,2.187499999999999,8.762412756251248,139.20454545454538,20,1.5,9,3,3,15,85,2.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.499999999999997,-6.0,2.187499999999999,8.762412756251248,139.20454545454538,20,1.5,9,3,3,20,85,2.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.499999999999997,-6.0,2.187499999999999,8.762412756251248,139.20454545454538,20,1.5,9,3,3,25,85,2.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.499999999999997,-6.0,2.187499999999999,6.839913872975267,139.20454545454538,20,1.5,9,3,3,15,85,2.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.499999999999997,-6.0,2.187499999999999,6.839913872975267,139.20454545454538,20,1.5,9,3,3,20,85,2.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.499999999999997,-6.0,2.187499999999999,6.839913872975267,139.20454545454538,20,1.5,9,3,3,25,85,2.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.018415514023096,-6.0,2.0470378582567363,11.267243330277532,130.26604552542867,20,1.5,9,3,3,15,85,2.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.018415514023096,-6.0,2.0470378582567363,11.267243330277532,130.26604552542867,20,1.5,9,3,3,20,85,2.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.018415514023096,-6.0,2.0470378582567363,11.267243330277532,130.26604552542867,20,1.5,9,3,3,25,85,2.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.018415514023096,-6.0,2.0470378582567363,10.547479758068734,130.26604552542867,20,1.5,9,3,3,15,85,2.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.018415514023096,-6.0,2.0470378582567363,10.547479758068734,130.26604552542867,20,1.5,9,3,3,20,85,2.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.018415514023096,-6.0,2.0470378582567363,10.547479758068734,130.26604552542867,20,1.5,9,3,3,25,85,2.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.018415514023096,-6.0,2.0470378582567363,9.304824841816961,130.26604552542867,20,1.5,9,3,3,15,85,2.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.018415514023096,-6.0,2.0470378582567363,9.304824841816961,130.26604552542867,20,1.5,9,3,3,20,85,2.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
11,63.63636363636363,7.018415514023096,-6.0,2.0470378582567363,9.304824841816961,130.26604552542867,20,1.5,9,3,3,25,85,2.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-2.9999999999999964,4.129198762565958,11.981887091137544,247.75192575395747,14,1.5,9,3,3,15,85,1.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-2.9999999999999964,4.129198762565958,11.981887091137544,247.75192575395747,14,1.5,9,3,3,20,85,1.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-2.9999999999999964,4.129198762565958,11.981887091137544,247.75192575395747,14,1.5,9,3,3,25,85,1.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-2.9999999999999964,4.129198762565958,11.022419083401891,247.75192575395747,14,1.5,9,3,3,15,85,1.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-2.9999999999999964,4.129198762565958,11.022419083401891,247.75192575395747,14,1.5,9,3,3,20,85,1.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-2.9999999999999964,4.129198762565958,11.022419083401891,247.75192575395747,14,1.5,9,3,3,25,85,1.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-2.9999999999999964,4.129198762565958,9.457690162176435,247.75192575395747,14,1.5,9,3,3,15,85,1.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-2.9999999999999964,4.129198762565958,9.457690162176435,247.75192575395747,14,1.5,9,3,3,20,85,1.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-2.9999999999999964,4.129198762565958,9.457690162176435,247.75192575395747,14,1.5,9,3,3,25,85,1.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-2.9999999999999964,3.750000000000002,9.317582948896575,225.00000000000014,14,1.5,9,3,3,15,85,1.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-2.9999999999999964,3.750000000000002,9.317582948896575,225.00000000000014,14,1.5,9,3,3,20,85,1.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-2.9999999999999964,3.750000000000002,9.317582948896575,225.00000000000014,14,1.5,9,3,3,25,85,1.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-2.9999999999999964,3.750000000000002,8.374094308633095,225.00000000000014,14,1.5,9,3,3,15,85,1.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-2.9999999999999964,3.750000000000002,8.374094308633095,225.00000000000014,14,1.5,9,3,3,20,85,1.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-2.9999999999999964,3.750000000000002,8.374094308633095,225.00000000000014,14,1.5,9,3,3,25,85,1.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-2.9999999999999964,3.750000000000002,6.842169530174136,225.00000000000014,14,1.5,9,3,3,15,85,1.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-2.9999999999999964,3.750000000000002,6.842169530174136,225.00000000000014,14,1.5,9,3,3,20,85,1.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-2.9999999999999964,3.750000000000002,6.842169530174136,225.00000000000014,14,1.5,9,3,3,25,85,1.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-4.499999999999988,2.7527991750439758,10.215208519521447,165.16795050263855,14,1.5,9,3,3,15,85,1.5,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-4.499999999999988,2.7527991750439758,10.215208519521447,165.16795050263855,14,1.5,9,3,3,20,85,1.5,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-4.499999999999988,2.7527991750439758,10.215208519521447,165.16795050263855,14,1.5,9,3,3,25,85,1.5,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-4.499999999999988,2.7527991750439758,9.52199882077418,165.16795050263855,14,1.5,9,3,3,15,85,1.5,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-4.499999999999988,2.7527991750439758,9.52199882077418,165.16795050263855,14,1.5,9,3,3,20,85,1.5,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-4.499999999999988,2.7527991750439758,9.52199882077418,165.16795050263855,14,1.5,9,3,3,25,85,1.5,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-4.499999999999988,2.7527991750439758,7.977539522125543,165.16795050263855,14,1.5,9,3,3,15,85,1.5,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-4.499999999999988,2.7527991750439758,7.977539522125543,165.16795050263855,14,1.5,9,3,3,20,85,1.5,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-4.499999999999988,2.7527991750439758,7.977539522125543,165.16795050263855,14,1.5,9,3,3,25,85,1.5,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-4.499999999999988,2.5000000000000053,7.5929376842610585,150.0000000000003,14,1.5,9,3,3,15,85,1.5,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-4.499999999999988,2.5000000000000053,7.5929376842610585,150.0000000000003,14,1.5,9,3,3,20,85,1.5,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-4.499999999999988,2.5000000000000053,7.5929376842610585,150.0000000000003,14,1.5,9,3,3,25,85,1.5,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-4.499999999999988,2.5000000000000053,6.9094650167560445,150.0000000000003,14,1.5,9,3,3,15,85,1.5,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-4.499999999999988,2.5000000000000053,6.9094650167560445,150.0000000000003,14,1.5,9,3,3,20,85,1.5,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-4.499999999999988,2.5000000000000053,6.9094650167560445,150.0000000000003,14,1.5,9,3,3,25,85,1.5,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-4.499999999999988,2.5000000000000053,5.397387483520277,150.0000000000003,14,1.5,9,3,3,15,85,1.5,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-4.499999999999988,2.5000000000000053,5.397387483520277,150.0000000000003,14,1.5,9,3,3,20,85,1.5,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-4.499999999999988,2.5000000000000053,5.397387483520277,150.0000000000003,14,1.5,9,3,3,25,85,1.5,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-6.00000000000001,2.0645993812829726,10.3586170959177,123.87596287697835,14,1.5,9,3,3,15,85,2.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-6.00000000000001,2.0645993812829726,10.3586170959177,123.87596287697835,14,1.5,9,3,3,20,85,2.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-6.00000000000001,2.0645993812829726,10.3586170959177,123.87596287697835,14,1.5,9,3,3,25,85,2.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-6.00000000000001,2.0645993812829726,9.621101193036608,123.87596287697835,14,1.5,9,3,3,15,85,2.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-6.00000000000001,2.0645993812829726,9.621101193036608,123.87596287697835,14,1.5,9,3,3,20,85,2.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-6.00000000000001,2.0645993812829726,9.621101193036608,123.87596287697835,14,1.5,9,3,3,25,85,2.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-6.00000000000001,2.0645993812829726,7.879052725137159,123.87596287697835,14,1.5,9,3,3,15,85,2.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-6.00000000000001,2.0645993812829726,7.879052725137159,123.87596287697835,14,1.5,9,3,3,20,85,2.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
10,60.0,8.258397525131905,-6.00000000000001,2.0645993812829726,7.879052725137159,123.87596287697835,14,1.5,9,3,3,25,85,2.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
15,60.0,7.499999999999992,-5.999999999999999,1.8749999999999984,11.819982530385854,112.4999999999999,20,1.5,9,3,3,15,85,2.0,1.8,2.5,False,False,True,True,0.1,3,0.1,0.04
15,60.0,7.499999999999992,-5.999999999999999,1.8749999999999984,11.819982530385854,112.4999999999999,20,1.5,9,3,3,20,85,2.0,1.8,2.5,False,False,True,True,0.1,3,0.1,0.04
15,60.0,7.499999999999992,-5.999999999999999,1.8749999999999984,11.819982530385854,112.4999999999999,20,1.5,9,3,3,25,85,2.0,1.8,2.5,False,False,True,True,0.1,3,0.1,0.04
15,60.0,7.499999999999992,-5.999999999999999,1.8749999999999984,9.88741478370918,112.4999999999999,20,1.5,9,3,3,15,85,2.0,1.2,2.5,False,False,True,True,0.1,3,0.1,0.04
15,60.0,7.499999999999992,-5.999999999999999,1.8749999999999984,9.88741478370918,112.4999999999999,20,1.5,9,3,3,20,85,2.0,1.2,2.5,False,False,True,True,0.1,3,0.1,0.04
15,60.0,7.499999999999992,-5.999999999999999,1.8749999999999984,9.88741478370918,112.4999999999999,20,1.5,9,3,3,25,85,2.0,1.2,2.5,False,False,True,True,0.1,3,0.1,0.04
15,60.0,7.499999999999992,-5.999999999999999,1.8749999999999984,7.36870478985554,112.4999999999999,20,1.5,9,3,3,15,85,2.0,0.8,2.5,False,False,True,True,0.1,3,0.1,0.04
15,60.0,7.499999999999992,-5.999999999999999,1.8749999999999984,7.36870478985554,112.4999999999999,20,1.5,9,3,3,20,85,2.0,0.8,2.5,False,False,True,True,0.1,3,0.1,0.04
15,60.0,7.499999999999992,-5.999999999999999,1.8749999999999984,7.36870478985554,112.4999999999999,20,1.5,9,3,3,25,85,2.0,0.8,2.5,False,False,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-6.00000000000001,1.8749999999999958,7.732934243999523,112.49999999999974,14,1.5,9,3,3,15,85,2.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-6.00000000000001,1.8749999999999958,7.732934243999523,112.49999999999974,14,1.5,9,3,3,20,85,2.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-6.00000000000001,1.8749999999999958,7.732934243999523,112.49999999999974,14,1.5,9,3,3,25,85,2.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-6.00000000000001,1.8749999999999958,7.006203404610001,112.49999999999974,14,1.5,9,3,3,15,85,2.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-6.00000000000001,1.8749999999999958,7.006203404610001,112.49999999999974,14,1.5,9,3,3,20,85,2.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-6.00000000000001,1.8749999999999958,7.006203404610001,112.49999999999974,14,1.5,9,3,3,25,85,2.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-6.00000000000001,1.8749999999999958,5.30125405475228,112.49999999999974,14,1.5,9,3,3,15,85,2.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-6.00000000000001,1.8749999999999958,5.30125405475228,112.49999999999974,14,1.5,9,3,3,20,85,2.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
10,60.0,7.499999999999996,-6.00000000000001,1.8749999999999958,5.30125405475228,112.49999999999974,14,1.5,9,3,3,25,85,2.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
15,60.0,7.125434288684624,-5.999999999999999,1.7813585721711567,12.589428577727112,106.8815143302694,20,1.5,9,3,3,15,85,2.0,1.8,2.5,True,False,True,True,0.1,3,0.1,0.04
15,60.0,7.125434288684624,-5.999999999999999,1.7813585721711567,12.589428577727112,106.8815143302694,20,1.5,9,3,3,20,85,2.0,1.8,2.5,True,False,True,True,0.1,3,0.1,0.04
15,60.0,7.125434288684624,-5.999999999999999,1.7813585721711567,12.589428577727112,106.8815143302694,20,1.5,9,3,3,25,85,2.0,1.8,2.5,True,False,True,True,0.1,3,0.1,0.04
15,60.0,7.125434288684624,-5.999999999999999,1.7813585721711567,12.418154487579102,106.8815143302694,20,1.5,9,3,3,15,85,2.0,1.2,2.5,True,False,True,True,0.1,3,0.1,0.04
15,60.0,7.125434288684624,-5.999999999999999,1.7813585721711567,12.418154487579102,106.8815143302694,20,1.5,9,3,3,20,85,2.0,1.2,2.5,True,False,True,True,0.1,3,0.1,0.04
15,60.0,7.125434288684624,-5.999999999999999,1.7813585721711567,12.418154487579102,106.8815143302694,20,1.5,9,3,3,25,85,2.0,1.2,2.5,True,False,True,True,0.1,3,0.1,0.04
15,60.0,7.125434288684624,-5.999999999999999,1.7813585721711567,9.845815530149649,106.8815143302694,20,1.5,9,3,3,15,85,2.0,0.8,2.5,True,False,True,True,0.1,3,0.1,0.04
15,60.0,7.125434288684624,-5.999999999999999,1.7813585721711567,9.845815530149649,106.8815143302694,20,1.5,9,3,3,20,85,2.0,0.8,2.5,True,False,True,True,0.1,3,0.1,0.04
15,60.0,7.125434288684624,-5.999999999999999,1.7813585721711567,9.845815530149649,106.8815143302694,20,1.5,9,3,3,25,85,2.0,0.8,2.5,True,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.499999999999992,-6.0000000000000115,1.749999999999995,7.78910043403469,102.08333333333304,25,1.5,9,3,3,15,85,2.0,1.8,2.5,False,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.499999999999992,-6.0000000000000115,1.749999999999995,7.78910043403469,102.08333333333304,25,1.5,9,3,3,20,85,2.0,1.8,2.5,False,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.499999999999992,-6.0000000000000115,1.749999999999995,7.78910043403469,102.08333333333304,25,1.5,9,3,3,25,85,2.0,1.8,2.5,False,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.499999999999992,-6.0000000000000115,1.749999999999995,5.234638522838075,102.08333333333304,25,1.5,9,3,3,15,85,2.0,1.2,2.5,False,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.499999999999992,-6.0000000000000115,1.749999999999995,5.234638522838075,102.08333333333304,25,1.5,9,3,3,20,85,2.0,1.2,2.5,False,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.499999999999992,-6.0000000000000115,1.749999999999995,5.234638522838075,102.08333333333304,25,1.5,9,3,3,25,85,2.0,1.2,2.5,False,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.499999999999992,-6.0000000000000115,1.749999999999995,3.56169982886696,102.08333333333304,25,1.5,9,3,3,15,85,2.0,0.8,2.5,False,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.499999999999992,-6.0000000000000115,1.749999999999995,3.56169982886696,102.08333333333304,25,1.5,9,3,3,20,85,2.0,0.8,2.5,False,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.499999999999992,-6.0000000000000115,1.749999999999995,3.56169982886696,102.08333333333304,25,1.5,9,3,3,25,85,2.0,0.8,2.5,False,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.2283545925712955,-6.0000000000000115,1.6866160715999658,8.701760116421209,98.38593750999802,25,1.5,9,3,3,15,85,2.0,1.8,2.5,True,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.2283545925712955,-6.0000000000000115,1.6866160715999658,8.701760116421209,98.38593750999802,25,1.5,9,3,3,20,85,2.0,1.8,2.5,True,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.2283545925712955,-6.0000000000000115,1.6866160715999658,8.701760116421209,98.38593750999802,25,1.5,9,3,3,25,85,2.0,1.8,2.5,True,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.2283545925712955,-6.0000000000000115,1.6866160715999658,6.968119482275714,98.38593750999802,25,1.5,9,3,3,15,85,2.0,1.2,2.5,True,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.2283545925712955,-6.0000000000000115,1.6866160715999658,6.968119482275714,98.38593750999802,25,1.5,9,3,3,20,85,2.0,1.2,2.5,True,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.2283545925712955,-6.0000000000000115,1.6866160715999658,6.968119482275714,98.38593750999802,25,1.5,9,3,3,25,85,2.0,1.2,2.5,True,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.2283545925712955,-6.0000000000000115,1.6866160715999658,5.270661902688567,98.38593750999802,25,1.5,9,3,3,15,85,2.0,0.8,2.5,True,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.2283545925712955,-6.0000000000000115,1.6866160715999658,5.270661902688567,98.38593750999802,25,1.5,9,3,3,20,85,2.0,0.8,2.5,True,False,True,True,0.1,3,0.1,0.04
12,58.333333333333336,7.2283545925712955,-6.0000000000000115,1.6866160715999658,5.270661902688567,98.38593750999802,25,1.5,9,3,3,25,85,2.0,0.8,2.5,True,False,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.499999999999998,-6.000000000000011,1.562499999999997,5.713547813090947,86.80555555555539,25,1.5,9,3,3,15,85,2.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.499999999999998,-6.000000000000011,1.562499999999997,5.713547813090947,86.80555555555539,25,1.5,9,3,3,20,85,2.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.499999999999998,-6.000000000000011,1.562499999999997,5.713547813090947,86.80555555555539,25,1.5,9,3,3,25,85,2.0,1.8,2.5,False,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.499999999999998,-6.000000000000011,1.562499999999997,3.757256632053174,86.80555555555539,25,1.5,9,3,3,15,85,2.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.499999999999998,-6.000000000000011,1.562499999999997,3.757256632053174,86.80555555555539,25,1.5,9,3,3,20,85,2.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.499999999999998,-6.000000000000011,1.562499999999997,3.757256632053174,86.80555555555539,25,1.5,9,3,3,25,85,2.0,1.2,2.5,False,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.499999999999998,-6.000000000000011,1.562499999999997,2.4703728623994614,86.80555555555539,25,1.5,9,3,3,15,85,2.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.499999999999998,-6.000000000000011,1.562499999999997,2.4703728623994614,86.80555555555539,25,1.5,9,3,3,20,85,2.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.499999999999998,-6.000000000000011,1.562499999999997,2.4703728623994614,86.80555555555539,25,1.5,9,3,3,25,85,2.0,0.8,2.5,False,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.119696429599823,-6.000000000000011,1.4832700894999604,6.608633611029213,82.40389386110891,25,1.5,9,3,3,15,85,2.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.119696429599823,-6.000000000000011,1.4832700894999604,6.608633611029213,82.40389386110891,25,1.5,9,3,3,20,85,2.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.119696429599823,-6.000000000000011,1.4832700894999604,6.608633611029213,82.40389386110891,25,1.5,9,3,3,25,85,2.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.119696429599823,-6.000000000000011,1.4832700894999604,5.466401370894336,82.40389386110891,25,1.5,9,3,3,15,85,2.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.119696429599823,-6.000000000000011,1.4832700894999604,5.466401370894336,82.40389386110891,25,1.5,9,3,3,20,85,2.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.119696429599823,-6.000000000000011,1.4832700894999604,5.466401370894336,82.40389386110891,25,1.5,9,3,3,25,85,2.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.119696429599823,-6.000000000000011,1.4832700894999604,4.1613259966332805,82.40389386110891,25,1.5,9,3,3,15,85,2.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.119696429599823,-6.000000000000011,1.4832700894999604,4.1613259966332805,82.40389386110891,25,1.5,9,3,3,20,85,2.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
9,55.55555555555556,7.119696429599823,-6.000000000000011,1.4832700894999604,4.1613259966332805,82.40389386110891,25,1.5,9,3,3,25,85,2.0,0.8,2.5,True,True,True,True,0.1,3,0.1,0.04
13,53.84615384615385,8.189087510886612,-2.9999999999999987,3.1846451431225726,12.459057278529627,171.48089232198467,14,1.5,9,3,3,15,75,1.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
13,53.84615384615385,8.189087510886612,-2.9999999999999987,3.1846451431225726,12.459057278529627,171.48089232198467,14,1.5,9,3,3,15,80,1.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
13,53.84615384615385,8.189087510886612,-2.9999999999999987,3.1846451431225726,12.459057278529627,171.48089232198467,14,1.5,9,3,3,20,75,1.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
13,53.84615384615385,8.189087510886612,-2.9999999999999987,3.1846451431225726,12.459057278529627,171.48089232198467,14,1.5,9,3,3,20,80,1.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
13,53.84615384615385,8.189087510886612,-2.9999999999999987,3.1846451431225726,12.459057278529627,171.48089232198467,14,1.5,9,3,3,25,75,1.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
13,53.84615384615385,8.189087510886612,-2.9999999999999987,3.1846451431225726,12.459057278529627,171.48089232198467,14,1.5,9,3,3,25,80,1.0,1.8,2.5,True,True,True,True,0.1,3,0.1,0.04
13,53.84615384615385,8.189087510886612,-2.9999999999999987,3.1846451431225726,12.077532189051453,171.48089232198467,14,1.5,9,3,3,15,75,1.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
13,53.84615384615385,8.189087510886612,-2.9999999999999987,3.1846451431225726,12.077532189051453,171.48089232198467,14,1.5,9,3,3,15,80,1.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
13,53.84615384615385,8.189087510886612,-2.9999999999999987,3.1846451431225726,12.077532189051453,171.48089232198467,14,1.5,9,3,3,20,75,1.0,1.2,2.5,True,True,True,True,0.1,3,0.1,0.04
